Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,115,2,Some Random Commen with Id 0
1,0,6,78,9,Some Random Commen with Id 1
2,0,6,199,0,Some Random Commen with Id 2
3,0,6,176,5,Some Random Commen with Id 3
4,0,6,92,1,Some Random Commen with Id 4
5,0,6,105,6,Some Random Commen with Id 5
6,0,6,49,0,Some Random Commen with Id 6
7,0,6,82,3,Some Random Commen with Id 7
8,0,6,130,7,Some Random Commen with Id 8
9,1,0,30,7,Some Random Commen with Id 9
10,1,0,52,5,Some Random Commen with Id 10
11,1,0,101,0,Some Random Commen with Id 11
12,1,0,32,8,Some Random Commen with Id 12
13,1,0,31,0,Some Random Commen with Id 13
14,1,0,133,9,Some Random Commen with Id 14
15,1,0,144,6,Some Random Commen with Id 15
16,1,0,51,0,Some Random Commen with Id 16
17,2,9,176,5,Some Random Commen with Id 17
18,2,9,142,8,Some Random Commen with Id 18
19,2,9,145,8,Some Random Commen with Id 19
20,2,9,76,9,Some Random Commen with Id 20
21,2,9,160,7,Some Random Commen with Id 21
22,2,9,165,7,Some Random Commen with Id 22
23,2,9,142,4,Some Random Commen with Id 23
24,2,9,179,9,Some Random Commen with Id 24
25,2,9,145,6,Some Random Commen with Id 25
26,3,0,41,6,Some Random Commen with Id 26
27,3,0,150,9,Some Random Commen with Id 27
28,3,0,93,1,Some Random Commen with Id 28
29,3,0,146,2,Some Random Commen with Id 29
30,3,0,3,3,Some Random Commen with Id 30
31,3,0,193,3,Some Random Commen with Id 31
32,3,0,156,9,Some Random Commen with Id 32
33,3,0,198,0,Some Random Commen with Id 33
34,3,0,13,7,Some Random Commen with Id 34
35,4,7,2,7,Some Random Commen with Id 35
36,4,7,95,8,Some Random Commen with Id 36
37,4,7,189,1,Some Random Commen with Id 37
38,4,7,147,6,Some Random Commen with Id 38
39,4,7,124,3,Some Random Commen with Id 39
40,5,2,49,1,Some Random Commen with Id 40
41,5,2,67,8,Some Random Commen with Id 41
42,5,2,74,8,Some Random Commen with Id 42
